,년-월,기사수,부정기사수,부정기사수 비율
0,2016-03,4817,794,0.164832884
1,2016-04,4445,744,0.167379078
2,2016-05,5189,1019,0.196376951
3,2016-06,4924,1089,0.221161657
4,2016-07,4830,1155,0.239130435
5,2016-08,5226,1184,0.22655951
6,2016-09,4375,1061,0.242514286
7,2016-10,5222,1272,0.243584833
8,2016-11,4914,1075,0.218762719
9,2016-12,5366,1090,0.203130824
10,2017-01,4697,1073,0.228443687
11,2017-02,4712,1083,0.22983871
12,2017-03,5277,1142,0.216410839
13,2017-04,5067,1000,0.197355437
14,2017-05,5045,938,0.18592666
15,2017-06,4793,1068,0.222824953
16,2017-07,5203,1136,0.218335576
17,2017-08,5267,1301,0.247009683
18,2017-09,5346,1303,0.243733633
19,2017-10,4583,1114,0.243072223
20,2017-11,5487,1309,0.238563878
21,2017-12,4694,1173,0.249893481
22,2018-01,5121,1147,0.223979691
23,2018-02,4971,1071,0.215449608
24,2018-03,5676,1301,0.229210712
25,2018-04,5385,1200,0.222841226
26,2018-05,5573,1228,0.220348107
27,2018-06,5318,966,0.181647236
28,2018-07,5462,1297,0.237458806
29,2018-08,5104,1168,0.228840125
30,2018-09,4922,1011,0.205404307
31,2018-10,6070,1470,0.242174629
32,2018-11,5638,1319,0.233948209
33,2018-12,5105,1273,0.249363369
34,2019-01,5756,1435,0.249305073
35,2019-02,4677,1037,0.221723327
36,2019-03,5764,1549,0.268736988
37,2019-04,6231,1667,0.267533301
38,2019-05,6106,1611,0.263838847
39,2019-06,5638,1484,0.263213906
40,2019-07,6372,1838,0.288449466
41,2019-08,5922,1580,0.266801756
42,2019-09,5473,1687,0.308240453
43,2019-10,6413,1919,0.299235927
44,2019-11,6177,1517,0.245588473
45,2019-12,6359,1473,0.231640195
46,2020-01,6365,1581,0.248389631
47,2020-02,6541,1977,0.302247363
48,2020-03,8371,2191,0.261736949
49,2020-04,7461,1959,0.26256534
50,2020-05,6768,2108,0.311465721
51,2020-06,6976,2131,0.305475917
52,2020-07,7146,2349,0.328715365
53,2020-08,6553,2224,0.339386541
54,2020-09,6529,2121,0.324858324
55,2020-10,6229,2057,0.330229571
56,2020-11,6503,1746,0.268491465
57,2020-12,6709,1992,0.296914592
58,2021-01,6433,1954,0.303746308
59,2021-02,5551,1630,0.293640785
60,2021-03,6508,1882,0.289182545
61,2021-04,6310,1788,0.283359746
62,2021-05,6045,1805,0.298593879
63,2021-06,6352,1895,0.298331234
64,2021-07,6410,1888,0.294539782
65,2021-08,5923,1882,0.317744386
66,2021-09,5491,1820,0.331451466
67,2021-10,5849,1823,0.31167721
68,2021-11,6038,1765,0.292315336
69,2021-12,6227,1890,0.303516942